"chart","playlist","album","date","artist","track","duration","explicit","track_pop","artist_pop","artist_follows","danceability","energy","loudness","liveness","acousticness","instrumentalness","key","mode","tempo","valence","time_signature","genre","Rock","Hip-hop","Latin","Christian","Soul","Jazz","Funk","R&B","Show_tunes","Misc","Pop","Edm","Indie","Country","Metal","Folk","Easy_listening","Reggae"
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Sand In My Boots",3.36888333333333,FALSE,42,87,2705213,0.354,0.54,-6.625,0.112,0.587,0,3,1,69.97,0.416,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Wasted On You",2.97533333333333,FALSE,43,87,2705213,0.505,0.658,-5.24,0.121,0.371,0.00136,11,0,196.002,0.255,3,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Somebody’s Problem",2.69621666666667,FALSE,36,87,2705213,0.658,0.539,-7.674,0.123,0.665,0,5,1,136.959,0.622,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","More Surprised Than Me",2.624,FALSE,36,87,2705213,0.488,0.748,-6.049,0.124,0.244,0,6,1,84.938,0.431,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","865",3.178,FALSE,39,87,2705213,0.454,0.586,-5.254,0.101,0.729,0,8,1,87.891,0.366,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Warning",2.61245,FALSE,38,87,2705213,0.633,0.663,-5.049,0.108,0.463,0,10,1,115.052,0.253,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Neon Eyes",3.76911666666667,FALSE,37,87,2705213,0.592,0.847,-5.232,0.158,0.0102,3.99e-05,11,0,126.01,0.652,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Outlaw (feat. Ben Burgess)",3.82911666666667,FALSE,35,87,2705213,0.506,0.633,-5.755,0.121,0.583,0,7,1,85.05,0.244,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Whiskey’d My Way",3.01311666666667,FALSE,37,87,2705213,0.449,0.518,-6.37,0.0984,0.599,0.00249,2,1,185.879,0.314,3,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Wonderin’ Bout The Wind",3.03711666666667,FALSE,35,87,2705213,0.481,0.714,-5.624,0.133,0.25,0,6,1,90.984,0.384,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Your Bartender",3.08488333333333,FALSE,36,87,2705213,0.554,0.774,-5.236,0.15,0.247,6.66e-05,4,1,139.963,0.442,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Only Thing That’s Gone (feat. Chris Stapleton)",3.27845,FALSE,36,87,2705213,0.503,0.799,-4.593,0.296,0.112,3.56e-05,2,1,150.07,0.464,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Cover Me Up",4.89511666666667,FALSE,35,87,2705213,0.531,0.438,-8.099,0.107,0.231,7.53e-06,2,1,127.915,0.223,3,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","7 Summers",3.50845,FALSE,35,87,2705213,0.467,0.793,-5.125,0.125,0.411,5.87e-05,0,1,203.926,0.574,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","More Than My Hometown",3.60955,FALSE,35,87,2705213,0.621,0.868,-5.478,0.131,0.617,0,6,1,126.01,0.594,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Still Goin Down",3.10488333333333,FALSE,35,87,2705213,0.58,0.753,-5.08,0.277,0.488,0,7,1,148.122,0.718,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Rednecks, Red Letters, Red Dirt",3.08555,FALSE,34,87,2705213,0.554,0.75,-4.301,0.122,0.166,1.8e-06,6,1,140.044,0.63,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Dangerous",2.46488333333333,FALSE,41,87,2705213,0.636,0.779,-4.794,0.273,0.207,0,7,1,119.015,0.956,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Beer Don’t",3.268,FALSE,33,87,2705213,0.588,0.853,-4.703,0.165,0.0686,3.55e-06,6,1,140.011,0.738,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Blame It On Me",2.71111666666667,FALSE,33,87,2705213,0.626,0.836,-4.59,0.319,0.532,0,7,1,93.023,0.816,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Somethin’ Country",2.87711666666667,FALSE,33,87,2705213,0.592,0.942,-4.441,0.291,0.171,0,2,1,146.024,0.742,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","This Bar",3.088,FALSE,33,87,2705213,0.554,0.883,-5.303,0.0463,0.0954,0.000362,2,1,110.01,0.227,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Country A$$ Shit",3.10311666666667,FALSE,30,87,2705213,0.625,0.93,-3.914,0.283,0.00935,0,10,1,138.032,0.918,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Whatcha Think Of Country Now",3.04045,FALSE,31,87,2705213,0.523,0.966,-4.356,0.322,0.0226,0,9,1,145.018,0.885,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Me On Whiskey",3.50621666666667,FALSE,36,87,2705213,0.569,0.654,-4.569,0.0777,0.448,0,11,1,142.038,0.707,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Need A Boat",3.09778333333333,FALSE,30,87,2705213,0.54,0.897,-6.285,0.267,0.0998,0,9,1,160.027,0.963,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Silverado For Sale",3.74866666666667,FALSE,36,87,2705213,0.59,0.777,-5.948,0.104,0.163,0,0,1,137.955,0.384,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Heartless - Wallen Album Mix",2.82688333333333,FALSE,32,87,2705213,0.597,0.623,-4.689,0.179,0.708,0,11,1,111.082,0.422,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Livin’ The Dream",3.98533333333333,FALSE,32,87,2705213,0.621,0.765,-5.912,0.228,0.578,0.00915,7,0,127.044,0.437,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","2021-01-08","Morgan Wallen","Quittin’ Time",3.74245,FALSE,35,87,2705213,0.409,0.626,-8.492,0.186,0.464,1.9e-06,5,1,83.904,0.448,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,"Billboard 200 Top Albums 2021","SOUR","2021-05-21","Olivia Rodrigo","brutal",2.39578333333333,TRUE,85,92,12088661,0.672,0.526,-6.446,0.28,0.0311,1.37e-06,4,1,123.999,0.28,4,"Pop",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,"Billboard 200 Top Albums 2021","SOUR","2021-05-21","Olivia Rodrigo","traitor",3.82045,FALSE,93,92,12088661,0.38,0.339,-7.885,0.12,0.691,0,3,1,100.607,0.0849,4,"Pop",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
