"chart","playlist","album","track","artist","duration","year","date","expicit","track_pop","artist_pop","artist_follows","danceability","energy","loudness","liveness","speechiness","acousticness","instrumentalness","key","mode","tempo","valence","time_signature","genre","Rock","Hip-hop","Latin","Christian","Soul","Jazz","Funk","R&B","Show_tunes","Misc","Pop","Edm","Indie","Country","Metal","Folk","Easy_listening","Reggae","no_genre"
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Sand In My Boots","Morgan Wallen",3.36888333333333,2021,2021-01-08,FALSE,42,86,2789002,0.354,0.54,-6.625,0.112,0.0323,0.587,0,3,1,69.97,0.416,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Wasted On You","Morgan Wallen",2.97533333333333,2021,2021-01-08,FALSE,42,86,2789002,0.505,0.658,-5.24,0.121,0.0318,0.371,0.00136,11,0,196.002,0.255,3,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Somebody’s Problem","Morgan Wallen",2.69621666666667,2021,2021-01-08,FALSE,35,86,2789002,0.658,0.539,-7.674,0.123,0.0289,0.665,0,5,1,136.959,0.622,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","More Surprised Than Me","Morgan Wallen",2.624,2021,2021-01-08,FALSE,35,86,2789002,0.488,0.748,-6.049,0.124,0.0297,0.244,0,6,1,84.938,0.431,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","865","Morgan Wallen",3.178,2021,2021-01-08,FALSE,38,86,2789002,0.454,0.586,-5.254,0.101,0.0253,0.729,0,8,1,87.891,0.366,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Warning","Morgan Wallen",2.61245,2021,2021-01-08,FALSE,37,86,2789002,0.633,0.663,-5.049,0.108,0.0294,0.463,0,10,1,115.052,0.253,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Neon Eyes","Morgan Wallen",3.76911666666667,2021,2021-01-08,FALSE,36,86,2789002,0.592,0.847,-5.232,0.158,0.0285,0.0102,3.99e-05,11,0,126.01,0.652,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Outlaw (feat. Ben Burgess)","Morgan Wallen",3.82911666666667,2021,2021-01-08,FALSE,34,86,2789002,0.506,0.633,-5.755,0.121,0.0275,0.583,0,7,1,85.05,0.244,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Whiskey’d My Way","Morgan Wallen",3.01311666666667,2021,2021-01-08,FALSE,36,86,2789002,0.449,0.518,-6.37,0.0984,0.0271,0.599,0.00249,2,1,185.879,0.314,3,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Wonderin’ Bout The Wind","Morgan Wallen",3.03711666666667,2021,2021-01-08,FALSE,34,86,2789002,0.481,0.714,-5.624,0.133,0.0335,0.25,0,6,1,90.984,0.384,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Your Bartender","Morgan Wallen",3.08488333333333,2021,2021-01-08,FALSE,35,86,2789002,0.554,0.774,-5.236,0.15,0.0281,0.247,6.66e-05,4,1,139.963,0.442,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Only Thing That’s Gone (feat. Chris Stapleton)","Morgan Wallen",3.27845,2021,2021-01-08,FALSE,35,86,2789002,0.503,0.799,-4.593,0.296,0.0314,0.112,3.56e-05,2,1,150.07,0.464,4,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Billboard 200 Top Albums 2021","Dangerous: The Double Album","Cover Me Up","Morgan Wallen",4.89511666666667,2021,2021-01-08,FALSE,36,86,2789002,0.531,0.438,-8.099,0.107,0.0271,0.231,7.53e-06,2,1,127.915,0.223,3,"Country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
