,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,album_name,album_id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_artist,track_artist_id,track_artist_popularity,track_artist_followers,track_artists_genres_consolidate,main_genre,Misc,Rock,Pop,Hip-hop,Edm,Latin,Indie,Christian,Country,Soul,Metal,Jazz,Folk,Funk,Easy_listening,R&B,Reggae,Show_tunes
0,Sand In My Boots,4qeMbs55QlONyrE9YBMA93,42,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.354,0.54,3.0,-6.625,1.0,0.587,0.0,0.112,0.416,69.97,202133.0,4.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Wasted On You,4xv9BDq764NSKG3geku9X2,43,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.505,0.658,11.0,-5.24,0.0,0.371,0.00136,0.121,0.255,196.002,178520.0,3.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Somebody’s Problem,7cWMnSxmQfKFsIIoRWifbb,36,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.658,0.539,5.0,-7.674,1.0,0.665,0.0,0.123,0.622,136.959,161773.0,4.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,More Surprised Than Me,6Mn2GFiNNadK0G2ZXRK1fd,36,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.488,0.748,6.0,-6.049,1.0,0.244,0.0,0.124,0.431,84.938,157440.0,4.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,865,3lb2f27695Iuyd82khwU9k,39,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.454,0.586,8.0,-5.254,1.0,0.729,0.0,0.101,0.366,87.891,190680.0,4.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Warning,6o6jHTdTaqQilpLLY1q8AG,38,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.633,0.663,10.0,-5.049,1.0,0.463,0.0,0.108,0.253,115.052,156747.0,4.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Neon Eyes,5WP1LPI7kLIQqEVEZKhnoo,37,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.592,0.847,11.0,-5.232,0.0,0.0102,3.99e-05,0.158,0.652,126.01,226147.0,4.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Outlaw (feat. Ben Burgess),6Vfl4qLFPMY73whXRef8Mk,35,"['Morgan Wallen', 'Ben Burgess']",['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.506,0.633,7.0,-5.755,1.0,0.583,0.0,0.121,0.244,85.05,229747.0,4.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Whiskey’d My Way,4kPLqNab6ZMGxbzsg423iX,37,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.449,0.518,2.0,-6.37,1.0,0.599,0.00249,0.0984,0.314,185.879,180787.0,3.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Wonderin’ Bout The Wind,7fgKAJlw9WNLoBORPAwBoB,35,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[87],False,[2705213],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.481,0.714,6.0,-5.624,1.0,0.25,0.0,0.133,0.384,90.984,182227.0,4.0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,87,2705213,['Country'],Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
