"Track","Popularity","Artists","Genre","Artist_Pop","Explicit","Artists_Followers","Album","danceability","energy","key","loudness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Genre2","Misc","Rock","Pop","Hip-hop","Edm","Reggaeton","Indie","Christian","Country","Soul","Metal","Jazz","Folk","Latin","Funk","Easy_listening","R&B","Reggae","Show_tunes","Main_ArtistPop","Main_ArtistFollowers","Followers_combined"
"Sand In My Boots",42,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.354,0.54,3,-6.625,0.587,0,0.112,0.416,69.97,202133,4,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"Wasted On You",43,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.505,0.658,11,-5.24,0.371,0.00136,0.121,0.255,196.002,178520,3,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"Somebody’s Problem",36,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.658,0.539,5,-7.674,0.665,0,0.123,0.622,136.959,161773,4,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"More Surprised Than Me",36,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.488,0.748,6,-6.049,0.244,0,0.124,0.431,84.938,157440,4,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"865",39,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.454,0.586,8,-5.254,0.729,0,0.101,0.366,87.891,190680,4,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"Warning",38,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.633,0.663,10,-5.049,0.463,0,0.108,0.253,115.052,156747,4,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"Neon Eyes",37,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.592,0.847,11,-5.232,0.0102,3.99e-05,0.158,0.652,126.01,226147,4,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"Outlaw (feat. Ben Burgess)",35,"['Morgan Wallen', 'Ben Burgess']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.506,0.633,7,-5.755,0.583,0,0.121,0.244,85.05,229747,4,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"Whiskey’d My Way",37,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.449,0.518,2,-6.37,0.599,0.00249,0.0984,0.314,185.879,180787,3,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
"Wonderin’ Bout The Wind",35,"['Morgan Wallen']","['contemporary country']","[87]",FALSE,"[2705213]","Dangerous: The Double Album",0.481,0.714,6,-5.624,0.25,0,0.133,0.384,90.984,182227,4,"['Country']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,2705213,2705213
