,features,score,elbow
0,"['acousticness', 'loudness', 'time_signature']",0.6302069998667935,2
1,"['acousticness', 'energy', 'instrumentalness']",0.5536066753617801,2
2,"['instrumentalness', 'liveness', 'speechiness']",0.5333388119973423,4
3,"['instrumentalness', 'key', 'loudness']",0.5811595895118215,3
4,"['acousticness', 'liveness', 'speechiness']",0.5038617760366462,2
5,"['acousticness', 'danceability', 'time_signature']",0.5394326573869348,2
6,"['acousticness', 'speechiness', 'time_signature']",0.5684218412553756,2
7,"['acousticness', 'danceability', 'loudness']",0.534597434429398,2
8,"['key', 'liveness', 'loudness']",0.5032764977275879,2
9,"['energy', 'instrumentalness', 'time_signature']",0.5015292859493514,3
10,"['instrumentalness', 'key', 'time_signature']",0.5800523870060167,2
11,"['instrumentalness', 'loudness', 'speechiness']",0.7595822619468275,2
12,"['acousticness', 'instrumentalness', 'tempo']",0.5489034794318155,2
13,"['acousticness', 'energy', 'loudness']",0.557239354766309,2
14,"['danceability', 'instrumentalness', 'key']",0.5061647606076852,3
15,"['instrumentalness', 'loudness', 'valence']",0.5034236263119957,3
16,"['instrumentalness', 'tempo', 'time_signature']",0.759535207322794,2
17,"['instrumentalness', 'key', 'liveness']",0.5106388672256263,2
18,"['instrumentalness', 'loudness', 'tempo']",0.7492861693025017,2
19,"['acousticness', 'loudness', 'speechiness']",0.5599830773890458,2
20,"['instrumentalness', 'liveness', 'tempo']",0.6945454620058705,2
21,"['key', 'loudness', 'time_signature']",0.564033552288019,2
22,"['acousticness', 'loudness', 'tempo']",0.5493161030259428,2
23,"['key', 'liveness', 'time_signature']",0.5211215718996114,2
24,"['acousticness', 'energy', 'time_signature']",0.5579143062428554,2
25,"['loudness', 'speechiness', 'time_signature']",0.5166416919815733,2
26,"['instrumentalness', 'speechiness', 'tempo']",0.6932298490719704,2
27,"['danceability', 'instrumentalness', 'time_signature']",0.503687162883269,3
28,"['acousticness', 'speechiness', 'tempo']",0.5022231901538663,2
29,"['acousticness', 'energy', 'liveness']",0.5033332101690213,2
30,"['key', 'speechiness', 'time_signature']",0.5241653508186777,2
31,"['danceability', 'instrumentalness', 'loudness']",0.7369540932240105,2
32,"['instrumentalness', 'key', 'speechiness']",0.5111941645212855,2
33,"['acousticness', 'instrumentalness', 'time_signature']",0.6390039041929121,2
34,"['acousticness', 'instrumentalness', 'loudness']",0.6246679936344288,2
35,"['instrumentalness', 'key', 'tempo']",0.5011561926786616,2
36,"['acousticness', 'tempo', 'time_signature']",0.5561892293927343,2
37,"['instrumentalness', 'liveness', 'time_signature']",0.7770178570514509,2
38,"['acousticness', 'instrumentalness', 'liveness']",0.5540535602784088,2
39,"['acousticness', 'liveness', 'time_signature']",0.5598063690620328,2
40,"['instrumentalness', 'liveness', 'loudness']",0.7612781668347063,2
41,"['liveness', 'loudness', 'time_signature']",0.5448302005192038,2
42,"['acousticness', 'liveness', 'loudness']",0.5529898314744316,2
43,"['key', 'loudness', 'speechiness']",0.5058391749099374,2
44,"['instrumentalness', 'speechiness', 'time_signature']",0.7746738616612628,2
45,"['key', 'tempo', 'time_signature']",0.5129931946928121,2
46,"['acousticness', 'energy', 'speechiness']",0.5079477704603876,2
47,"['instrumentalness', 'time_signature', 'valence']",0.5348426980591767,3
48,"['acousticness', 'danceability', 'instrumentalness']",0.5353909140001525,2
49,"['instrumentalness', 'loudness', 'time_signature']",0.8414899706926952,2
50,"['acousticness', 'energy', 'tempo']",0.502452582760234,2
51,"['liveness', 'speechiness', 'time_signature']",0.5116276132630369,2
52,"['acousticness', 'instrumentalness', 'speechiness']",0.5593910722293591,2
