,playlist_id,playlist_name,position,album_name,album_id,album_release_date,album_artists,album_artists_ids,album_artists_genres,album_artists_popularity,album_artists_followers,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,1,DAMN.,4eLPsYPBmXABThSJ821sqY,2017-04-14,Kendrick Lamar,['2YZyLoL8N0Wb9xBt1NhZWg'],"[['conscious hip hop', 'hip hop', 'rap', 'west coast rap']]",[90],[19114324],HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,84,['Kendrick Lamar'],['2YZyLoL8N0Wb9xBt1NhZWg'],"[['conscious hip hop', 'hip hop', 'rap', 'west coast rap']]",[90],True,[19114324],0.908,0.621,1,0.102,-6.638,0,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
1,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,2,24K Magic,4PgleR09JVnm3zY1fW3XBA,2016-11-17,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],"[['dance pop', 'pop']]",[92],[37300396],That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,84,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],"[['dance pop', 'pop']]",[92],False,[37300396],0.853,0.56,1,0.0406,-4.961,1,0.013,0.0,0.0944,0.86,134.066,206693,4
2,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,3,Starboy,2ODvWsOgouMbaA5xf0RkJe,2016-11-25,['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],"[['canadian contemporary r&b', 'canadian pop', 'pop']]",[100],[40930648],Starboy,7MXVkk9YMctZqd1Srtv4MB,86,"['The Weeknd', 'Daft Punk']",['1Xyo4u8uXC1ZmMpatF05PJ'],"[['canadian contemporary r&b', 'canadian pop', 'pop']]",[100],True,[40930648],0.679,0.587,7,0.276,-7.015,1,0.141,6.35e-06,0.137,0.486,186.003,230453,4
3,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,4,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],"[['pop', 'uk pop']]",[96],[91177982],Shape of You,7qiZfU4dY1lWllzX7mPBI3,87,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],"[['pop', 'uk pop']]",[96],False,[91177982],0.825,0.652,1,0.0802,-3.183,0,0.581,0.0,0.0931,0.931,95.977,233713,4
4,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,5,More Life,1lXY618HWkwYKJWBRYR4MK,2017-03-18,['Drake'],['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],[60310746],Passionfruit,5mCPDVBb16L4XQwDdbRUpz,83,['Drake'],['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],True,[60310746],0.809,0.463,11,0.0396,-11.377,1,0.256,0.085,0.109,0.364,111.98,298941,4
5,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,6,Moana (Original Motion Picture Soundtrack/Deluxe Edition),6pZj4nvx6lV3ulIK3BSjvs,2016-11-18,['Various Artists'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],[1447145],How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd,74,"[""Auli'i Cravalho""]",['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],False,[1447145],0.571,0.307,1,0.0499,-10.958,0,0.649,0.0,0.178,0.108,83.72,163387,4
6,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,7,Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC,2016-12-09,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],[35612420],Congratulations,3a1lNhkSLSkpJE4MSHpDu9,83,"['Post Malone', 'Quavo']",['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],True,[35612420],0.63,0.804,6,0.0363,-4.183,1,0.215,0.0,0.253,0.492,123.146,220293,4
7,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,8,Culture,0wGBMvq7f2ThcvfvfdcC7k,2017-01-26,['Migos'],['6oMuImdp5ZcFhWP0ESe6mG'],"[['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']]",[82],[12064318],Bad and Boujee (feat. Lil Uzi Vert),2jTxollrIoPpqpGe4naUsv,47,"['Migos', 'Lil Uzi Vert']",['6oMuImdp5ZcFhWP0ESe6mG'],"[['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']]",[82],False,[12064318],0.944,0.666,11,0.24,-5.247,1,0.0627,0.0,0.117,0.166,127.045,332690,4
8,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,9,Hamilton (Original Broadway Cast Recording),1kCHru7uhxBUdzkm4gzRQc,2015-09-25,['Lin-Manuel Miranda'],['4aXXDj9aZnlshx7mzj3W1N'],"[['hollywood', 'show tunes']]",[78],[485419],Alexander Hamilton,4TTV7EcfroSLWzXRY6gLv6,73,"['Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Lin-Manuel Miranda', 'Phillipa Soo', 'Original Broadway Cast of Hamilton']",['4aXXDj9aZnlshx7mzj3W1N'],"[['hollywood', 'show tunes']]",[78],False,[485419],0.609,0.435,11,0.285,-7.861,0,0.522,0.0,0.118,0.552,131.995,236738,4
9,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,10,4 Your Eyez Only,3MNP6yEmCAFruLe7pAGKCu,2016-12-08,['J. Cole'],['6l3HvQ5sa6mXTsMTB19rO5'],"[['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']]",[89],[15591924],Neighbors,4eSn3WcTUYdM5dYnSf7v8K,37,['J. Cole'],['6l3HvQ5sa6mXTsMTB19rO5'],"[['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']]",[89],False,[15591924],0.898,0.276,11,0.34,-12.378,0,0.289,0.000198,0.107,0.444,138.973,216520,4
10,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,11,TROLLS (Original Motion Picture Soundtrack),65ayND23IInUPHJKsaAqe7,2016-09-23,['Trolls'],['05S6yFOzexsgurWstJlBqK'],"[['deep classic garage rock', 'kleine hoerspiel']]",[40],[37076],"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,74,['Justin Timberlake'],['05S6yFOzexsgurWstJlBqK'],"[['deep classic garage rock', 'kleine hoerspiel']]",[40],False,[37076],0.669,0.832,0,0.0682,-5.721,1,0.0106,0.0,0.0968,0.7,113.035,237547,4
11,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,12,Hardwired…To Self-Destruct,4kizef5du9TgAGfNhWbKmt,2016-11-18,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],"[['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']]",[84],[20139546],Hardwired,7myke8Id4WyKFlWcRBJdIF,56,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],"[['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']]",[84],True,[20139546],0.13,0.991,11,0.0604,-3.126,1,1.15e-05,0.00412,0.225,0.505,185.364,191332,4
12,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,13,Views,2yIwhsIWGRQzGQdn1czSK0,2016-05-06,['Drake'],['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],[60310746],One Dance,5ZKG94fnjiuMH5yrC5S9lS,67,"['Drake', 'WizKid', 'Kyla']",['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],False,[60310746],0.788,0.605,1,0.0578,-5.586,1,0.00899,0.00275,0.318,0.427,103.94,173973,4
13,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,14,American Teen,6kf46HbnYCZzP6rjvQHYzg,2017-04-27,['Khalid'],['6LuN9FCkKOj5PcnpouEgny'],"[['pop', 'pop r&b']]",[89],[14798056],Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,82,['Khalid'],['6LuN9FCkKOj5PcnpouEgny'],"[['pop', 'pop r&b']]",[89],False,[14798056],0.799,0.539,1,0.0421,-6.351,1,0.199,1.66e-05,0.165,0.394,136.948,202547,4
14,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,15,FUTURE,17FBoXK1NU2rvJBbzdzw0r,2017-06-30,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],"[['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[91],[11044152],Mask Off,0VgkVdmE4gld66l8iyGjgx,82,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],"[['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[91],True,[11044152],0.833,0.434,2,0.431,-8.795,1,0.0102,0.0219,0.165,0.281,150.062,204600,4
15,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,16,A Pentatonix Christmas Deluxe,3sId8sOH47yqOWopzbEtJn,2017-12-06,['Pentatonix'],['26AHtbjWKiwYzsoGoUZq53'],[['a cappella']],[81],[3203902],Hallelujah,0HZk0QsXPhMNAWNDR3rYE8,71,['Pentatonix'],['26AHtbjWKiwYzsoGoUZq53'],[['a cappella']],[81],False,[3203902],0.364,0.378,7,0.0331,-7.381,0,0.47,0.0,0.339,0.366,89.918,268960,3
16,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,17,Blurryface,3cQO7jp5S9qLBoIVtbkSM1,2015-05-15,['Twenty One Pilots'],['3YQKmKGau1PzlVlkL1iodx'],"[['modern rock', 'rock']]",[85],[21796675],Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,86,['Twenty One Pilots'],['3YQKmKGau1PzlVlkL1iodx'],"[['modern rock', 'rock']]",[85],False,[21796675],0.734,0.637,4,0.141,-5.677,0,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4
17,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,18,Birds In The Trap Sing McKnight,42WVQWuf1teDysXiOupIZt,2016-09-16,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],"[['rap', 'slap house']]",[92],[19574893],goosebumps,6gBFPUFcJLzWGx4lenP6h2,87,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],"[['rap', 'slap house']]",[92],True,[19574893],0.841,0.728,7,0.0484,-3.37,1,0.0847,0.0,0.149,0.43,130.049,243837,4
