,playlist_id,playlist_name,chart_position,album_release_date,release_year,release_date_datetime,album_id,album_artist,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,album_name,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_artist,track_artist_id,track_artist_popularity,track_artist_followers,track_artists_genres_consolidate,main_genre,Soundtrack,Rock,Pop,Hip-hop,Edm,Latin,Indie,Christian,Country,Soul,Metal,Jazz,Folk,Funk,Misc,Easy_listening,R&B,Reggae,Show_tunes,No Genre Assigned
35,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,2,2021-05-21,2021,2021-05-21,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,95,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],['pop'],[91],True,[12849364],SOUR,0.563,0.664,9,0.154,-5.044,1,0.335,0.0,0.0849,0.688,166.928,178147,4,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,91,12849364,['Pop'],Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,20,2021-06-25,2021,2021-06-25,1nAQbHeOWTfQzbOoFrvndW,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,95,['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],"['dance pop', 'pop']",[94],True,[14664252],Planet Her,0.824,0.764,5,0.0854,-4.175,0,0.0888,0.00294,0.117,0.881,107.998,172627,4,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,94,14664252,"['Pop', 'Pop']",Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8218,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,178,1994-11-01,1994,1994-11-01,61ulfFSmmxMhc2wCdmdMkN,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,93,['Mariah Carey'],['4iHNK0tOyZPYnBU7nGAgpQ'],"['dance pop', 'pop', 'urban contemporary']",[85],False,[7380441],Merry Christmas,0.336,0.627,7,0.0384,-7.463,1,0.164,0.0,0.0708,0.35,150.273,241107,4,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,85,7380441,"['Pop', 'Pop', 'R&B']",Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
505,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,20,2021-06-25,2021,2021-06-25,1nAQbHeOWTfQzbOoFrvndW,Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,93,['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],"['dance pop', 'pop']",[94],True,[14664252],Planet Her,0.664,0.609,1,0.0707,-6.509,1,0.304,0.0,0.0926,0.194,130.041,210560,4,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,94,14664252,"['Pop', 'Pop']",Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,126,2021-09-17,2021,2021-09-17,6pOiDiuDQqrmo5DbG0ZubR,Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,93,['Lil Nas X'],['7jVv8c5Fj3E9VhNjxT4snq'],"['lgbtq+ hip hop', 'pop']",[90],True,[8977215],MONTERO,0.737,0.846,1,0.22,-4.51,0,0.00614,0.0,0.0486,0.546,87.981,143901,4,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,90,8977215,"['Hip-hop', 'Pop']",Hip-hop,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8228,1EEazdcjH0keT4sttGvH8c,Billboard 200 Top Albums 2020,168,1994-11-01,1994,1994-11-01,61ulfFSmmxMhc2wCdmdMkN,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,93,['Mariah Carey'],['4iHNK0tOyZPYnBU7nGAgpQ'],"['dance pop', 'pop', 'urban contemporary']",[85],False,[7380441],Merry Christmas,0.336,0.627,7,0.0384,-7.463,1,0.164,0.0,0.0708,0.35,150.273,241107,4,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,85,7380441,"['Pop', 'Pop', 'R&B']",Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8238,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,191,1994-11-01,1994,1994-11-01,61ulfFSmmxMhc2wCdmdMkN,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,93,['Mariah Carey'],['4iHNK0tOyZPYnBU7nGAgpQ'],"['dance pop', 'pop', 'urban contemporary']",[85],False,[7380441],Merry Christmas,0.336,0.627,7,0.0384,-7.463,1,0.164,0.0,0.0708,0.35,150.273,241107,4,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,85,7380441,"['Pop', 'Pop', 'R&B']",Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1572,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,41,2021-07-30,2021,2021-07-30,0JGOiO34nwfUdDrD612dOp,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,93,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],"['art pop', 'electropop', 'pop']",[93],True,[55712878],Happier Than Ever,0.332,0.225,0,0.0348,-8.697,1,0.767,0.00349,0.128,0.297,81.055,298899,3,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,93,55712878,"['Pop', 'Pop', 'Pop']",Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,2,2021-05-21,2021,2021-05-21,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,92,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],['pop'],[91],True,[12849364],SOUR,0.561,0.431,10,0.0578,-8.81,1,0.768,1.42e-05,0.106,0.137,143.875,242013,4,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,91,12849364,['Pop'],Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,2,2021-05-21,2021,2021-05-21,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,92,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],['pop'],[91],False,[12849364],SOUR,0.38,0.339,3,0.0338,-7.885,1,0.691,0.0,0.12,0.0849,100.607,229227,4,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,91,12849364,['Pop'],Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
