"Genre","Track","Popularity","Artists","Artist_Pop","Explicit","Followers","Album","danceability","energy","key","loudness","acousticness","instrumentalness","liveness","valence","tempo","Original_Genre"
"'show tunes'","One Jump Ahead (Reprise 2)",47,"Mena Massoud","53",FALSE,"16506","Aladdin (Original Motion Picture Soundtrack)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['a cappella']","Deck The Halls",58,"['Pentatonix']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.685,0.624,11,-6.284,0.203,0,0.143,0.951,121.984,NA
"['a cappella']","Carol of the Bells",60,"['Pentatonix']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.481,0.609,0,-7.075,0.306,0,0.129,0.548,172.225,NA
"['a cappella']","God Only Knows",67,"['Pentatonix']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.428,0.294,6,-8.637,0.479,0,0.0986,0.487,119.536,NA
"['a cappella']","Hallelujah",70,"['Pentatonix']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.317,0.371,7,-7.384,0.484,0,0.168,0.367,117.144,NA
"['a cappella']","Dance of the Sugar Plum Fairy",55,"['Pentatonix']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.368,0.384,8,-10.203,0.0919,0.148,0.294,0.493,79.811,NA
"['a cappella']","Mary, Did You Know?",58,"['Pentatonix']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.515,0.311,11,-9.001,0.284,0,0.0889,0.203,105.06,NA
"['a cappella']","Joyful, Joyful",64,"['Pentatonix', 'Jazmine Sullivan']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.559,0.682,6,-5.476,0.134,0,0.0746,0.393,110.932,NA
"['a cappella']","Do You Hear What I Hear?",65,"['Pentatonix', 'Whitney Houston']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.316,0.714,8,-4.981,0.00931,0,0.117,0.306,72.785,NA
"['a cappella']","Little Drummer Boy",59,"['Pentatonix']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.696,0.413,8,-8.357,0.16,2.89e-05,0.0924,0.531,134.042,NA
"['a cappella']","God Rest Ye Merry Gentlemen",61,"['Pentatonix']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.737,0.404,1,-8.888,0.755,0,0.119,0.668,136.045,NA
"['a cappella']","Winter Wonderland / Don't Worry Be Happy (feat. Tori Kelly)",61,"['Pentatonix', 'Tori Kelly']","[86]",FALSE,"[3196035]","The Best Of Pentatonix Christmas",0.622,0.402,6,-8.488,0.285,0,0.112,0.721,129.579,NA
