track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,album_name,album_id,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Sand In My Boots,4qeMbs55QlONyrE9YBMA93,42,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.354,0.54,3,0.0323,-6.625,1,0.587,0.0,0.112,0.416,69.97,202133,4
Wasted On You,4xv9BDq764NSKG3geku9X2,42,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.505,0.658,11,0.0318,-5.24,0,0.371,0.00136,0.121,0.255,196.002,178520,3
Somebody’s Problem,7cWMnSxmQfKFsIIoRWifbb,35,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.658,0.539,5,0.0289,-7.674,1,0.665,0.0,0.123,0.622,136.959,161773,4
More Surprised Than Me,6Mn2GFiNNadK0G2ZXRK1fd,35,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.488,0.748,6,0.0297,-6.049,1,0.244,0.0,0.124,0.431,84.938,157440,4
865,3lb2f27695Iuyd82khwU9k,38,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.454,0.586,8,0.0253,-5.254,1,0.729,0.0,0.101,0.366,87.891,190680,4
Warning,6o6jHTdTaqQilpLLY1q8AG,37,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.633,0.663,10,0.0294,-5.049,1,0.463,0.0,0.108,0.253,115.052,156747,4
Neon Eyes,5WP1LPI7kLIQqEVEZKhnoo,36,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.592,0.847,11,0.0285,-5.232,0,0.0102,3.99e-05,0.158,0.652,126.01,226147,4
Outlaw (feat. Ben Burgess),6Vfl4qLFPMY73whXRef8Mk,34,"['Morgan Wallen', 'Ben Burgess']",['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.506,0.633,7,0.0275,-5.755,1,0.583,0.0,0.121,0.244,85.05,229747,4
Whiskey’d My Way,4kPLqNab6ZMGxbzsg423iX,36,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.449,0.518,2,0.0271,-6.37,1,0.599,0.00249,0.0984,0.314,185.879,180787,3
Wonderin’ Bout The Wind,7fgKAJlw9WNLoBORPAwBoB,34,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.481,0.714,6,0.0335,-5.624,1,0.25,0.0,0.133,0.384,90.984,182227,4
Your Bartender,2JsDkPZtdgs21JWfKIkIeH,35,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.554,0.774,4,0.0281,-5.236,1,0.247,6.66e-05,0.15,0.442,139.963,185093,4
Only Thing That’s Gone (feat. Chris Stapleton),7MVGhr6Gfg0Wx959PN2LxL,35,"['Morgan Wallen', 'Chris Stapleton']",['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.503,0.799,2,0.0314,-4.593,1,0.112,3.56e-05,0.296,0.464,150.07,196707,4
Cover Me Up,5jKqR3BfRMAUnE7gAIq1Fh,36,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.531,0.438,2,0.0271,-8.099,1,0.231,7.53e-06,0.107,0.223,127.915,293707,3
7 Summers,23V03OIpI0BpblCZredJGe,35,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.467,0.793,0,0.0329,-5.125,1,0.411,5.87e-05,0.125,0.574,203.926,210507,4
More Than My Hometown,65mMCEOu5Ll1DBAfEUmerU,34,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.621,0.868,6,0.046,-5.478,1,0.617,0.0,0.131,0.594,126.01,216573,4
Still Goin Down,1d0rJOxrY9cpoAVgzyYLot,35,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.58,0.753,7,0.0267,-5.08,1,0.488,0.0,0.277,0.718,148.122,186293,4
"Rednecks, Red Letters, Red Dirt",23ADTEcy2rB090bYiZRsCP,33,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.554,0.75,6,0.0249,-4.301,1,0.166,1.8e-06,0.122,0.63,140.044,185133,4
Dangerous,0R8ShcBTOvXjKCsp0Mu0Hx,40,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.636,0.779,7,0.0273,-4.794,1,0.207,0.0,0.273,0.956,119.015,147893,4
Beer Don’t,35mh8VlZaeXTF4YOiwmfQm,33,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.588,0.853,6,0.0344,-4.703,1,0.0686,3.55e-06,0.165,0.738,140.011,196080,4
Blame It On Me,6RQ7qWUDHNBOtwYiAvROyG,32,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.626,0.836,7,0.0466,-4.59,1,0.532,0.0,0.319,0.816,93.023,162667,4
Somethin’ Country,4sxbpptdBeUeLAsivMsxRF,32,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.592,0.942,2,0.039,-4.441,1,0.171,0.0,0.291,0.742,146.024,172627,4
This Bar,3xVgsoAHGXbJdpZKM5hSjR,32,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.554,0.883,2,0.0721,-5.303,1,0.0954,0.000362,0.0463,0.227,110.01,185280,4
Country A$$ Shit,2eS7tfh50SWkUIvTfHF6Ou,30,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.625,0.93,10,0.0366,-3.914,1,0.00935,0.0,0.283,0.918,138.032,186187,4
Whatcha Think Of Country Now,4vfJZdFvsZIIUAq0I9ZyWj,30,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],['contemporary country'],[86],False,[2789002],Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,0.523,0.966,9,0.0355,-4.356,1,0.0226,0.0,0.322,0.885,145.018,182427,4
