,playlist_id,playlist_name,position,album_name,album_id,album_release_date,album_artists,album_artists_ids,album_artists_genres,album_artists_popularity,album_artists_followers,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,1,Dangerous: The Double Album,1qW1C4kDOXnrly22daHbxz,2021-01-08,Morgan Wallen,['4oUHIQIBe0LHzYfvXNW4QM'],[['contemporary country']],[86],[2705213],More Than My Hometown,65mMCEOu5Ll1DBAfEUmerU,34,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],[['contemporary country']],[86],False,[2705213],0.621,0.868,6,-5.478,1,0.617,0.0,0.131,0.594,126.01,216573,4
1,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,2,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],[['pop']],[92],[12088661],drivers license,5wANPM4fQCJwkGd4rN57mH,92,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],[['pop']],[92],True,[12088661],0.561,0.431,10,-8.81,1,0.768,1.42e-05,0.106,0.137,143.875,242013,4
2,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,3,Shoot For The Stars Aim For The Moon,7e7t0MCrNDcJZsPwUKjmOc,2020-07-03,['Pop Smoke'],['0eDvMgVFoNV3TpwtrVCoTj'],[['brooklyn drill']],[89],[8721767],What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,85,['Pop Smoke'],['0eDvMgVFoNV3TpwtrVCoTj'],[['brooklyn drill']],[89],True,[8721767],0.709,0.548,10,-8.493,1,0.65,1.59e-06,0.133,0.543,83.995,160000,4
3,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,4,evermore,2Xoteh7uEpea4TohMxjtaq,2020-12-11,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],[['pop']],[100],[47362363],willow,0lx2cLdOt3piJbcaXIV74f,82,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],[['pop']],[100],False,[47362363],0.392,0.574,7,-9.195,1,0.833,0.00179,0.145,0.529,81.112,214707,4
4,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,5,Certified Lover Boy,3SpBlxme9WbeQdI9kx7KAV,2021-09-03,['Drake'],['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],[59845429],Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,90,"['Drake', 'Future', 'Young Thug']",['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],True,[59845429],0.803,0.597,11,-6.035,0,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
5,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,6,F*CK LOVE,6RuwGwQcAureaOraKJNFQG,2020-07-24,['The Kid LAROI'],['2tIP7SsRs7vjIcLrU85W8J'],[['australian hip hop']],[90],[3123153],GO (feat. Juice WRLD),2rPHUAeUPbNgTmK18FPTiZ,79,"['The Kid LAROI', 'Juice WRLD']",['2tIP7SsRs7vjIcLrU85W8J'],[['australian hip hop']],[90],True,[3123153],0.487,0.74,6,-4.973,1,0.157,0.0,0.612,0.522,73.779,181688,4
6,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,7,What You See Is What You Get,0S9D5NIDp2YXhYwlvuJzqx,2019-11-08,['Luke Combs'],['718COspgdWOnwOFpJHRZHS'],"[['contemporary country', 'country']]",[83],[5981206],Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,77,['Luke Combs'],['718COspgdWOnwOFpJHRZHS'],"[['contemporary country', 'country']]",[83],False,[5981206],0.538,0.863,1,-4.483,1,0.0139,0.0,0.0874,0.637,77.001,186733,4
7,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,8,Positions,3BSzygCIET0gzTTIs7iB3y,2020-10-30,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],"[['dance pop', 'pop']]",[96],[73920087],positions,1eNoiSrvdNWZfCOrP37jSf,63,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],"[['dance pop', 'pop']]",[96],False,[73920087],0.735,0.805,5,-4.821,1,0.468,0.0,0.094,0.617,144.02,172325,4
8,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,9,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI,2020-03-27,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],"[['dance pop', 'pop', 'uk pop']]",[94],[31002076],Don't Start Now,3PfIrDoz19wz7qK7tYeu62,84,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],"[['dance pop', 'pop', 'uk pop']]",[94],False,[31002076],0.793,0.793,11,-4.521,0,0.0123,0.0,0.0951,0.679,123.95,183290,4
9,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,10,My Turn,1ynyQdPQiXdYJNQEDL1S3d,2020-02-28,['Lil Baby'],['5f7VJjfbwm532GiveGC0ZK'],"[['atl hip hop', 'atl trap', 'rap', 'trap']]",[93],[9150690],Woah,02RCbjb9czvQKNGBmEmWob,68,['Lil Baby'],['5f7VJjfbwm532GiveGC0ZK'],"[['atl hip hop', 'atl trap', 'rap', 'trap']]",[93],True,[9150690],0.883,0.599,11,-5.551,1,0.0177,0.0,0.179,0.413,142.976,183011,4
